,醫事機構名稱,藥局調劑慢性病連續處方箋之案件數,醫院及藥局調劑慢性病連續處方箋案件數,慢性病連續處方箋釋出率,所屬分區業務組指標值,全國指標值,year,quarter
0,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),14516,70770,0.2051,0.2813,0.3072,103,1
1,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),25708,114352,0.2248,0.2983,0.3468,107,1
2,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),38587,134734,0.2864,0.3403,0.3839,109,1
3,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),17857,79154,0.2256,0.2934,0.3261,104,1
4,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),28069,120602,0.2327,0.3039,0.35,107,3
5,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),40521,141351,0.2867,0.3411,0.3861,109,3
6,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),44848,138991,0.3227,0.3697,0.4129,110,4
7,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),15348,74574,0.2058,0.2815,0.311,103,2
8,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),26835,117799,0.2278,0.2999,0.3477,107,2
9,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),29786,124323,0.2396,0.3064,0.3459,108,1
10,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),33054,135532,0.2439,0.3106,0.3538,108,3
11,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),45043,138019,0.3264,0.3718,0.4108,111,1
12,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),17961,81562,0.2202,0.287,0.3211,104,2
13,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),40634,138790,0.2928,0.3434,0.3868,109,4
14,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),44689,135873,0.3289,0.3737,0.4263,110,2
15,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),46979,140636,0.334,0.3786,0.4176,111,3
16,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),19941,91690,0.2175,0.2893,0.3331,105,1
17,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),43840,134174,0.3267,0.3711,0.4115,110,3
18,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),21260,98015,0.2169,0.2936,0.3402,105,3
19,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),31107,130342,0.2387,0.3086,0.3496,108,2
20,高雄市立大同醫院（委託財團法人私立高雄醫學大學經營),41965,138218,0.3036,0.3546,0.3986,110,1
